"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"3";"4.0";"mei";"Arias";"mei";"5.55";"285";"0,42";"0,08";"0.0";"0,00";"-0,42";"0.3235294117647059"
"3";"4.0";"mei";"Ganso";"mei";"4.97";"285";"0,32";"0,07";"16.9";"3,40";"16,58";"1.0"
"3";"4.0";"mei";"Maurício";"mei";"4.35";"266";"0,30";"0,07";"5.7";"1,31";"5,40";"0.8235294117647058"
"3";"4.0";"mei";"Ronald";"mei";"4.0";"354";"0,30";"0,08";"0.0";"0,00";"-0,30";"0.23529411764705882"
"3";"4.0";"mei";"Shaylon";"mei";"3.29";"263";"0,25";"0,08";"2.8";"0,85";"2,55";"0.6470588235294118"
"3";"4.0";"mei";"Bryan García";"mei";"2.52";"262";"0,18";"0,07";"0.0";"0,00";"-0,18";"0.14705882352941177"
"3";"4.0";"mei";"Jorginho";"mei";"2.62";"263";"0,15";"0,06";"13.9";"5,31";"13,75";"0.9705882352941176"
"3";"4.0";"mei";"Fellipe Bastos";"mei";"2.93";"314";"-0,03";"-0,01";"0.0";"0,00";"0,03";"0.2647058823529412"
"3";"8.0";"mei";"Luís Oyama";"mei";"6.95";"373";"3,30";"0,47";"5.8";"0,83";"2,50";"0.8"
"3";"8.0";"mei";"Patrick de Paula";"mei";"6.14";"373";"2,71";"0,44";"6.8";"1,11";"4,09";"0.95"
"3";"8.0";"mei";"Igor Gomes";"mei";"7.07";"280";"2,37";"0,34";"0.4";"0,06";"-1,97";"0.3"
"3";"8.0";"mei";"Rodrigo Nestor";"mei";"6.48";"280";"2,35";"0,36";"1.2";"0,19";"-1,15";"0.4"
"3";"8.0";"mei";"Fernando Sobral";"mei";"8.12";"356";"2,12";"0,26";"0.0";"0,00";"-2,12";"0.15"
"3";"8.0";"mei";"Renato Augusto";"mei";"6.09";"275";"1,91";"0,31";"-0.2";"-0,03";"-2,11";"0.1"
"3";"8.0";"mei";"Juninho";"mei";"6.07";"277";"1,34";"0,22";"0.0";"0,00";"-1,34";"0.25"
"3";"8.0";"mei";"Bruno Silva";"mei";"7.41";"290";"1,32";"0,18";"2.8";"0,38";"1,48";"0.6"
"3";"8.0";"mei";"Yago Felipe";"mei";"7.19";"285";"1,25";"0,17";"1.2";"0,17";"-0,05";"0.5"
"3";"8.0";"mei";"Yago Pikachu";"mei";"9.8";"354";"1,21";"0,12";"1.2";"0,12";"-0,01";"0.55"
"3";"8.0";"mei";"Alê";"mei";"9.36";"277";"1,18";"0,13";"0.0";"0,00";"-1,18";"0.2"
"3";"8.0";"mei";"Marlon Freitas";"mei";"7.2";"263";"1,18";"0,16";"5.8";"0,81";"4,62";"0.85"
"3";"8.0";"mei";"Nacho Fernández";"mei";"9.32";"294";"1,11";"0,12";"7.5";"0,80";"6,39";"1.0"
"3";"8.0";"mei";"Jair";"mei";"7.25";"294";"1,07";"0,15";"1.1";"0,15";"0,03";"0.35"
"3";"8.0";"mei";"Raniele";"mei";"9.03";"290";"1,05";"0,12";"6.2";"0,69";"5,15";"0.9"
"3";"8.0";"mei";"Alisson";"mei";"9.43";"280";"1,02";"0,11";"1.2";"0,13";"0,18";"0.45"
"3";"8.0";"mei";"Willian Farias";"mei";"7.45";"282";"0,95";"0,13";"4.9";"0,66";"3,95";"0.7"
"3";"8.0";"mei";"Jadson";"mei";"8.1";"1371";"0,74";"0,09";"5.1";"0,63";"4,36";"0.75"
