"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"3","12.0","ata","Mendoza","ata","11.69","356","2.84","0.24","1.5","0.13","-1.34","3"
"3","12.0","ata","Victor Sá","ata","10.51","373","2.76","0.26","0.4","0.04","-2.36","5"
"3","12.0","ata","Marcos Leonardo","ata","10.6","327","2.21","0.21","10.9","1.03","8.69","1"
"3","12.0","ata","Ademir","ata","11.38","294","2.15","0.19","8.2","0.72","6.05","2"
"3","12.0","ata","Cano","ata","10.01","285","1.79","0.18","-0.5","-0.05","-2.29","7"
"3","4.0","tec","Umberto Louzer","tec","4.86","263","2.11","0.43","5.04","1.04","2.93","2"
"3","4.0","tec","Fábio Carille","tec","5.77","262","2.08","0.36","3.15","0.55","1.07","3"
"3","4.0","tec","Vagner Mancini","tec","5.24","277","1.11","0.21","6.53","1.25","5.42","1"
"3","4.0","tec","Jair Ventura","tec","3.23","314","0.82","0.26","2.43","0.75","1.61","4"
"3","8.0","tec","Gustavo Morínigo","tec","9.99","282","3.31","0.33","6.04","0.60","2.73","2"
"3","8.0","tec","Pintado","tec","7.08","286","2.34","0.33","4.41","0.62","2.07","4"
"3","8.0","tec","Luís Castro","tec","6.9","373","2.14","0.31","3.55","0.51","1.41","5"
"3","8.0","tec","Juan Vojvoda","tec","6.83","354","1.96","0.29","2.28","0.33","0.32","8"
"3","8.0","tec","Eduardo Barroca","tec","6.87","290","1.84","0.27","4.86","0.71","3.02","3"
"3","8.0","tec","Eduardo Baptista","tec","6.1","1371","1.73","0.28","2.57","0.42","0.84","6"
"3","8.0","tec","Mano Menezes","tec","6.12","266","1.60","0.26","6.51","1.06","4.91","1"
"3","8.0","tec","Dorival Júnior","tec","6.5","356","1.16","0.18","2.44","0.38","1.28","7"
"3","12.0","tec","Vítor Pereira","tec","10.54","275","3.13","0.30","5.31","0.50","2.18","2"
"3","12.0","tec","Rogério Ceni","tec","11.79","280","2.72","0.23","3.5","0.30","0.78","4"
"3","12.0","tec","Abel Braga","tec","10.61","285","2.64","0.25","","","","5"
"3","12.0","tec","Fabián Bustos","tec","10.17","327","2.59","0.25","2.11","0.21","-0.48","6"
"3","12.0","tec","Maurício Barbieri","tec","10.6","276","2.58","0.24","6.4","0.60","3.82","1"
"3","12.0","tec","Antonio Mohamed","tec","11.8","294","2.33","0.20","4.5","0.38","2.17","3"
"4","4.0","gol","Tadeu","gol","4.2","282","1.32","0.32","12.5","2.98","11.18","3"
"4","4.0","gol","João Ricardo","gol","3.24","280","1.20","0.37","13.2","4.07","12.00","1"
"4","4.0","gol","Bento","gol","5.06","327","1.01","0.20","7.0","1.38","5.99","4"
"4","4.0","gol","Hugo Souza","gol","3.43","275","0.93","0.27","4.0","1.17","3.07","5"
"4","4.0","gol","César","gol","2.57","263","0.70","0.27","1.0","0.39","0.30","8"
"4","4.0","gol","Max Walef","gol","2.95","264","0.30","0.10","1.0","0.34","0.70","7"
"4","4.0","gol","Gatito Fernández","gol","5.03","286","0.30","0.06","13.0","2.58","12.70","2"
"4","4.0","gol","Ronaldo","gol","3.69","1371","0.18","0.05","1.0","0.27","0.82","6"
"4","8.0","gol","Fábio","gol","9.97","294","2.66","0.27","3.0","0.30","0.34","4"
"4","8.0","gol","Alex Muralha","gol","6.25","266","1.17","0.19","2.0","0.32","0.83","5"
"4","8.0","gol","Douglas Friedrich","gol","7.67","285","0.85","0.11","4.0","0.52","3.15","3"
"4","8.0","gol","Jandrei","gol","6.84","277","0.62","0.09","1.0","0.15","0.38","6"
"4","8.0","gol","Jailson","gol","6.64","293","0.24","0.04","5.0","0.75","4.76","1"
"4","8.0","gol","Daniel","gol","7.78","314","0.20","0.03","4.0","0.51","3.80","2"
"4","12.0","gol","Cleiton","gol","11.43","354","2.60","0.23","-1.0","-0.09","-3.60","4"
"4","12.0","gol","Everson","gol","11.19","290","2.50","0.22","5.0","0.45","2.50","2"
"4","12.0","gol","Weverton","gol","11.39","262","2.24","0.20","0.0","0.00","-2.24","3"
"4","12.0","gol","Cássio","gol","11.69","356","1.99","0.17","9.2","0.79","7.21","1"
"4","4.0","zag","Rafael Forster","zag","4.57","263","2.87","0.63","4.5","0.98","1.63","3"
"4","4.0","zag","Bruno Méndez","zag","4.59","314","2.35","0.51","-0.3","-0.07","-2.65","15"
"4","4.0","zag","Luccas Claro","zag","5.77","294","2.33","0.40","0.0","0.00","-2.33","11"
"4","4.0","zag","Messias","zag","3.42","280","2.17","0.64","0.0","0.00","-2.17","10"
"4","4.0","zag","Henrique","zag","5.2","266","2.00","0.38","0.7","0.13","-1.30","8"
"4","4.0","zag","Gabriel Lacerda","zag","3.35","280","1.80","0.54","3.1","0.93","1.30","6"
"4","4.0","zag","Arthur Chaves","zag","5.16","285","1.59","0.31","0.3","0.06","-1.29","9"
"4","4.0","zag","Arboleda","zag","5.68","277","1.17","0.21","3.2","0.56","2.03","5"
"4","4.0","zag","Reynaldo","zag","3.11","282","1.07","0.35","5.8","1.86","4.73","2"
"4","4.0","zag","Ramon Menezes","zag","3.55","1371","1.07","0.30","1.2","0.34","0.13","7"
"4","4.0","zag","Joaquim","zag","3.0","373","0.96","0.32","0.0","0.00","-0.96","13"
"4","4.0","zag","Alan Empereur","zag","5.94","373","0.88","0.15","3.7","0.62","2.82","4"
"4","4.0","zag","Éder","zag","2.82","293","0.85","0.30","-2.2","-0.78","-3.05","17"
"4","4.0","zag","Matheus Felipe","zag","3.36","327","0.61","0.18","6.0","1.79","5.39","1"
"4","4.0","zag","Wanderson","zag","2.85","1371","0.53","0.19","-0.2","-0.07","-0.73","14"
"4","4.0","zag","Ceballos","zag","3.17","264","0.39","0.12","-1.2","-0.38","-1.59","16"
"4","4.0","zag","Renan","zag","4.33","354","-0.02","-0.00","0.0","0.00","0.02","12"
"4","8.0","zag","Godín","zag","6.05","290","2.32","0.38","0.0","0.00","-2.32","12"
"4","8.0","zag","Gil","zag","6.78","356","1.91","0.28","10.8","1.59","8.89","1"
"4","8.0","zag","Luciano Castán","zag","6.06","266","1.73","0.29","0.2","0.03","-1.53","11"
"4","8.0","zag","João Victor","zag","6.09","356","1.27","0.21","6.1","1.00","4.83","4"
"4","8.0","zag","Marcelo Benevenuto","zag","6.25","264","1.07","0.17","1.9","0.30","0.83","8"
"4","8.0","zag","Iago Maidana","zag","8.5","293","0.96","0.11","8.5","1.00","7.54","2"
"4","8.0","zag","Murilo","zag","7.45","262","0.83","0.11","1.0","0.13","0.17","9"
"4","8.0","zag","Marllon","zag","6.89","373","0.72","0.11","5.8","0.84","5.08","5"
"4","8.0","zag","Mercado","zag","8.31","314","0.63","0.08","0.0","0.00","-0.63","13"
"4","8.0","zag","Sidnei","zag","6.25","282","0.52","0.08","0.0","0.00","-0.52","14"
"4","8.0","zag","Diego","zag","7.08","277","0.42","0.06","0.6","0.08","0.18","10"
"4","8.0","zag","Bressan","zag","8.15","285","0.23","0.03","2.0","0.25","1.77","7"
"4","8.0","zag","Víctor Cuesta","zag","6.19","286","-0.06","-0.01","6.5","1.05","6.56","3"
"4","8.0","zag","David Luiz","zag","6.19","275","-0.01","-0.00","3.1","0.50","3.11","6"
"4","12.0","zag","Nino","zag","13.56","294","3.73","0.28","0.5","0.04","-3.23","3"
"4","12.0","zag","Junior Alonso","zag","13.17","290","3.30","0.25","4.7","0.36","1.40","2"
"4","12.0","zag","Léo Ortiz","zag","12.77","354","2.96","0.23","0.0","0.00","-2.96","4"
"4","12.0","zag","Eduardo Bauermann","zag","10.06","276","1.84","0.18","4.8","0.48","2.96","1"
"4","4.0","lat","Samuel Xavier","lat","5.63","294","2.20","0.39","2.7","0.48","0.50","7"
"4","4.0","lat","Isla","lat","5.27","275","1.72","0.33","0.7","0.13","-1.02","10"
"4","4.0","lat","Daniel Borges","lat","4.62","286","1.63","0.35","5.3","1.15","3.67","3"
"4","4.0","lat","Nino Paraíba","lat","4.85","280","1.61","0.33","0.0","0.00","-1.61","12"
"4","4.0","lat","Uendel","lat","4.74","373","1.19","0.25","3.5","0.74","2.31","5"
"4","4.0","lat","Tinga","lat","4.41","264","1.18","0.27","0.0","0.00","-1.18","15"
"4","4.0","lat","Maguinho","lat","2.59","282","1.01","0.39","5.3","2.05","4.29","4"
"4","4.0","lat","Danilo Barcelos","lat","2.77","282","0.93","0.33","3.0","1.08","2.07","6"
"4","4.0","lat","Guilherme Biro","lat","2.51","266","0.86","0.34","-0.1","-0.04","-0.96","16"
"4","4.0","lat","João Paulo","lat","4.41","293","0.76","0.17","1.0","0.23","0.24","9"
"4","4.0","lat","William Matheus","lat","2.48","263","0.70","0.28","-0.2","-0.08","-0.90","17"
"4","4.0","lat","Jefferson","lat","2.44","1371","0.66","0.27","1.9","0.78","1.24","8"
"4","4.0","lat","Marlon","lat","2.48","294","0.61","0.25","0.0","0.00","-0.61","14"
"4","4.0","lat","Kevin ","lat","4.8","285","0.29","0.06","0.4","0.08","0.11","11"
"4","4.0","lat","Abner Vinícius","lat","4.91","327","0.24","0.05","15.9","3.24","15.66","1"
"4","4.0","lat","Juninho Capixaba","lat","3.36","264","0.05","0.02","7.8","2.32","7.75","2"
"4","4.0","lat","Guilherme","lat","2.0","354","0.00","0.00","0.0","0.00","0.00","13"
"4","8.0","lat","Rafinha","lat","8.57","277","2.70","0.32","0.2","0.02","-2.50","12"
"4","8.0","lat","Bustos","lat","8.4","314","2.17","0.26","3.1","0.37","0.93","3"
"4","8.0","lat","Bruno Pacheco","lat","8.38","280","2.15","0.26","-0.3","-0.04","-2.45","15"
"4","8.0","lat","Patric","lat","7.67","293","2.14","0.28","2.4","0.31","0.26","8"
"4","8.0","lat","Matheus Alexandre","lat","6.45","266","2.08","0.32","6.9","1.07","4.82","1"
"4","8.0","lat","Filipe Luís","lat","8.07","275","1.77","0.22","1.0","0.12","-0.77","10"
"4","8.0","lat","Aderlan","lat","9.07","354","1.73","0.19","0.0","0.00","-1.73","13"
"4","8.0","lat","Lucas Pires","lat","9.98","276","1.41","0.14","1.2","0.12","-0.21","9"
"4","8.0","lat","Saravia","lat","6.76","286","1.37","0.20","3.0","0.44","1.63","5"
"4","8.0","lat","Renê","lat","8.03","314","1.36","0.17","2.8","0.35","1.44","6"
"4","8.0","lat","Marcos Rocha","lat","7.69","262","1.15","0.15","0.4","0.05","-0.75","11"
"4","8.0","lat","Madson","lat","7.59","276","1.14","0.15","4.4","0.58","3.26","2"
"4","8.0","lat","Bruno Cortez","lat","7.37","285","0.67","0.09","2.6","0.35","1.93","7"
"4","8.0","lat","Dudu","lat","7.58","1371","0.62","0.08","0.0","0.00","-0.62","14"
"4","8.0","lat","Piquerez","lat","7.06","262","0.16","0.02","3.0","0.42","2.84","4"
"4","12.0","lat","Welington ","lat","10.73","277","1.34","0.12","1.2","0.11","-0.14","1"
"4","12.0","lat","Fagner","lat","12.0","356","0.27","0.02","0.0","0.00","-0.27","2"
"4","4.0","mei","Taison","mei","4.39","314","2.07","0.47","0.0","0.00","-2.07","27"
"4","4.0","mei","Jadsom Silva","mei","5.53","354","1.83","0.33","0.3","0.05","-1.53","26"
"4","4.0","mei","Valdívia","mei","5.23","373","1.82","0.35","1.6","0.31","-0.22","15"
"4","4.0","mei","Thiago Maia","mei","5.32","275","1.66","0.31","1.6","0.30","-0.06","16"
"4","4.0","mei","Shaylon","mei","3.88","1371","1.62","0.42","1.1","0.28","-0.52","21"
"4","4.0","mei","Régis","mei","4.35","266","1.51","0.35","-0.3","-0.07","-1.81","32"
"4","4.0","mei","Willian Arão","mei","4.98","275","1.39","0.28","4.8","0.96","3.41","5"
